time,leader,positive,negative,neutral
Thu Apr 19 01:07:35 2018,Donald Trump,28,28,43
Thu Apr 19 01:07:35 2018,Narendra Modi,49,6,44
Thu Apr 19 01:07:35 2018,Rajiv Gandhi,17,5,76
Thu Apr 19 10:22:23 2018,Donald Trump,42,15,41
Thu Apr 19 10:22:23 2018,Narendra Modi,28,6,64
Thu Apr 19 10:22:23 2018,Rajiv Gandhi,0,14,85
Thu Apr 19 10:25:02 2018,Donald Trump,36,19,44
Thu Apr 19 10:25:02 2018,Narendra Modi,29,8,62
Thu Apr 19 10:25:02 2018,Rajiv Gandhi,0,18,81
Thu Apr 19 10:26:02 2018,Donald Trump,36,13,49
Thu Apr 19 10:26:02 2018,Narendra Modi,26,10,63
Thu Apr 19 10:26:02 2018,Rajiv Gandhi,0,18,81
Thu Apr 19 10:27:02 2018,Donald Trump,44,14,41
Thu Apr 19 10:27:02 2018,Narendra Modi,27,15,57
Thu Apr 19 10:27:02 2018,Rajiv Gandhi,0,18,81
Thu Apr 19 10:27:38 2018,Donald Trump,43,8,48
Thu Apr 19 10:27:38 2018,Narendra Modi,27,15,57
Thu Apr 19 10:27:38 2018,Rajiv Gandhi,0,19,80
Thu Apr 19 10:28:01 2018,Donald Trump,32,12,54
Thu Apr 19 10:28:01 2018,Narendra Modi,27,16,56
Thu Apr 19 10:28:01 2018,Rajiv Gandhi,0,19,80
Thu Apr 19 10:29:02 2018,Donald Trump,36,16,47
Thu Apr 19 10:29:02 2018,Narendra Modi,21,14,64
Thu Apr 19 10:29:02 2018,Rajiv Gandhi,0,19,80
Thu Apr 19 10:30:01 2018,Donald Trump,37,14,48
Thu Apr 19 10:30:01 2018,Narendra Modi,21,13,65
Thu Apr 19 10:30:01 2018,Rajiv Gandhi,0,20,80
Thu Apr 19 10:31:02 2018,Donald Trump,41,11,46
Thu Apr 19 10:31:02 2018,Narendra Modi,23,7,68
Thu Apr 19 10:31:02 2018,Rajiv Gandhi,0,20,80
Thu Apr 19 10:32:01 2018,Donald Trump,38,13,48
Thu Apr 19 10:32:01 2018,Narendra Modi,31,5,63
Thu Apr 19 10:32:01 2018,Rajiv Gandhi,9,18,72
Thu Apr 19 10:33:01 2018,Donald Trump,43,13,43
Thu Apr 19 10:33:01 2018,Narendra Modi,29,3,66
Thu Apr 19 10:33:01 2018,Rajiv Gandhi,8,17,73
Thu Apr 19 10:34:02 2018,Donald Trump,33,7,58
Thu Apr 19 10:34:02 2018,Narendra Modi,27,3,68
Thu Apr 19 10:34:02 2018,Rajiv Gandhi,8,17,73
Thu Apr 19 10:35:02 2018,Donald Trump,35,12,51
Thu Apr 19 10:35:02 2018,Narendra Modi,23,6,69
Thu Apr 19 10:35:02 2018,Rajiv Gandhi,16,16,68
Thu Apr 19 10:36:01 2018,Donald Trump,46,15,38
Thu Apr 19 10:36:01 2018,Narendra Modi,23,6,69
Thu Apr 19 10:36:01 2018,Rajiv Gandhi,16,16,68
