WORDS,COUNT
all,5
results,2
proposition,2
religious,2
send,3
realities,2
to,18
citing,2
program,2
Climbing,2
norm,2
very,2
emergencies,2
corollary,2
every,2
drinking,2
difference,2
Smythe,5
file:///home/shubham/,1
Paul,2
phones,2
boots,2
even,2
above,2
Imagine,2
new,2
529,1
contrast,2
COUNT,2
here,2
water,2
invented,2
great,2
38,1
37,2
35,1
military,2
makes,2
via,2
When,2
Health,2
tools,2
crisis,3
use,2
Australia,2
from,2
vivid,2
“mesh,2
chargers,2
live,2
WORDS,2
6,1
he’s,2
more,5
comparison,2
becomes,2
it,3
effort,2
this,7
can,5
growing,2
grenade,2
history,2
providers,2
Forbes,2
medicine”,2
dropped,2
want,2
cites,2
11:06,1
1,30
how,2
Why,2
designed,2
such,3
parallel,2
types,3
a,15
Fernandapulle,2
so,4
desensitized,3
healthcare,3
innocuous,2
over,3
through,2
referencing,2
still,2
RAF,2
23,1
interesting,3
forms,2
Arendt,3
2018,1
might,2
then,2
python,5
they,2
not,3
drop,2
each,2
Stanley,2
quarter,2
lantern,2
tents,2
doing,2
engaging,2
out,2
network,2
driving,2
CEO,2
7,2
medicine,3
turning,2
config/libreoffice/4;,1
shubham,3
members,2
care,3
messages,2
days,2
times,2
one’s,2
first,3
question,2
one,2
Myriad,2
drones,2
co-founder,2
“decisive,2
2,266
Such,2
that,11
part,2
doctors,2
than,3
begins,2
zones,3
13,3
12,1
15,2
14,1
17,1
16,2
19,1
18,4
Alongside,2
project,2
patients,2
feeling,2
Smythe’s,2
and,18
argument,2
say,2
have,3
handsets,2
any,2
relatively,3
Users,2
Hannah,2
1966,1
take,2
analogy,2
Dr,3
combat,2
quote,2
“distance,2
most,2
11:18,1
Without,2
The,2
11:16,1
11:17,1
04,1
mobile,4
clear,2
humanitarian,2
Iora,2
doesn’t,2
emerging,2
text,2
bring,2
fine,2
find,2
ground,2
situations,2
should,2
8,1
interested,2
meant,2
do,2
his,2
distance,3
umbilical,2
cannot,2
10:47,1
during,3
enemy,2
319,1
disaster,2
connections,2
see,2
are,2
close,2
closer,2
draws,2
camping,2
3,37
myriad,2
between,3
solar-powered,3
24,2
we,5
terms,2
creating,2
however,2
Milgram,2
both,2
missions,2
connection,2
whole,2
self-care,2
nearby,2
point,2
wall,2
community,2
lanterns,3
256,1
Rushika,2
create,2
been,2
quickly,2
much,2
IED,2
By,2
will,2
Above,2
is,13
site,2
shubham-Vostro-2520,1
eras,2
Gardner-Stephen,2
in,10
sanitized,2
technology,2
visits”,2
if,2
debilitating,2
develop,2
make,4
network”,2
emphasize,2
9,2
difficult,2
000,2
hopping,2
It,2
efficient,2
drone,2
relief,2
In,2
inability,2
position,2
the,16
11:26,1
distant,2
human,2
Internet,2
caregiver,2
bit,2
web,2
death,5
workers,2
seems,2
source,2
lets,2
belongs,2
4,12
easy,2
has,2
earthquakes,2
posed,2
267,1
That’s,2
264,1
world,2
269,1
like,2
become,4
What’s,2
battlefield,2
right,2
people,2
back,2
Yazidi,2
platforms,2
images,2
separate[s],2
for,3
critical,2
He,4
cord,2
be,4
patient,2
power,2
jumps,2
communicate,3
by,4
on,2
would,2
of,18
Roy,2
efforts,2
or,4
seeing,2
into,3
within,2
Navigating,2
contributor,2
airdropped,2
support,2
telemedicine,2
fast,2
war,4
files,2
heal,2
but,2
delivery,2
reminds,2
hi,2
technologies,2
with,3
393,1
dangerous,2
attached,2
us,2
below,3
planes,2
problem,2
medical,2
“virtual,2
stranded,2
abstract,2
an,4
as,3
at,3
file,3
Fellow,2
11,2
no,2
tossing,2
other,5
5,9
sick,2
you,3
10,2
users,3
separate,2
important,2
fundamentally,2
lead,2
calls,2
”,2
time,2
hello,2
